Model,Accuracy,Precision,Recall,F1-Score
SVM,0.9288087327954437,0.9311221040002489,0.9288087327954437,0.9297196067512958
XGBoost,0.9957285239677266,0.9957354168281857,0.9957285239677266,0.9957298234177084
Gradient Descent,0.7935453251067869,0.8673079376130006,0.7935453251067869,0.8168004446951845
Random Forest,0.9591836734693877,0.9593145307902342,0.9591836734693877,0.9590081787602284
Logistic Regression,0.8267679164689131,0.8666494283199658,0.8267679164689131,0.8416352023800426
