Accuracy,Precision,Recall,F1-Score,Model
0.7852887852887853,0.8074266200052462,0.7852887852887853,0.7908751152206633,KNN
0.8456358456358456,0.8650496869390821,0.8456358456358456,0.8485114633325662,NaiveBayes
0.8523698523698524,0.8764452476801761,0.8523698523698524,0.8586770788535175,SVM
0.8267288267288267,0.8485585941844365,0.8267288267288267,0.8330599508041493,LogisticRegression
0.8114478114478114,0.8443766024808402,0.8114478114478114,0.8200590445396124,SGD
