Depth,Ammonia Nitrogen (mg/L),Dissolved Oxygen (%saturation),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Temperature (°C),Suspended Solids (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),pH
Bottom Water,0.047,62,250,0.019,0.003,0.014,23.3,2.1,0.64,0.06,<0.001,0.6,0.07,0.62,1.5,4.4,7.5
Surface Water,0.12,67,570,0.072,0.009,0.017,24.5,0.9,0.96,0.08,0.001,0.6,0.2,0.88,1.9,4.7,7.4
Middle Water,0.067,74,24,0.035,0.007,0.013,24.3,1.4,0.98,0.04,<0.001,1.3,0.11,0.94,1.5,5.1,7.4
Bottom Water,0.041,67,23,0.013,0.008,0.012,24.2,2,0.4,0.06,<0.001,0.5,0.06,0.38,1,4.6,7.4
Surface Water,0.087,85,440,0.1,0.042,0.015,25.2,3.8,0.36,0.07,0.001,1,0.23,0.22,4.6,5.8,7.5
Middle Water,0.083,90,340,0.1,0.042,0.013,25.1,3,0.3,0.07,0.001,0.7,0.23,0.16,2.7,6.1,7.6
Bottom Water,0.084,91,640,0.096,0.041,0.013,25.0,4,0.78,0.08,0.001,1.1,0.22,0.64,3.2,6.2,7.6
Surface Water,0.059,83,490,0.079,0.029,0.019,20.5,9,0.58,0.03,<0.001,3.1,0.17,0.47,<0.2,6.1,6.8
Middle Water,0.067,85,540,0.081,0.03,0.019,20.5,3,0.5,0.03,<0.001,<0.5,0.18,0.39,0.3,6.3,7.1
Bottom Water,0.057,87,340,0.066,0.027,0.017,20.5,4.2,0.91,0.04,<0.001,<0.5,0.15,0.82,0.4,6.4,7.3
Surface Water,0.088,84,220,0.075,0.029,0.02,20.0,5.5,0.75,0.04,<0.001,0.8,0.19,0.65,1.1,6.3,6.8
Middle Water,0.07,87,210,0.079,0.028,0.018,20.0,4.7,0.87,0.04,<0.001,0.8,0.18,0.76,1,6.5,7.1
Bottom Water,0.088,89,460,0.071,0.028,0.019,19.9,4.4,0.99,0.04,<0.001,0.6,0.19,0.89,0.9,6.6,7.3
Surface Water,0.047,78,310,0.067,0.013,0.016,17.3,4.6,0.83,0.03,<0.001,1.2,0.13,0.75,0.5,6.2,7.0
Middle Water,0.053,90,240,0.07,0.012,0.017,17.7,4.8,0.54,0.03,<0.001,1.2,0.14,0.46,0.3,7.0,7.2
Bottom Water,0.046,90,210,0.063,0.013,0.015,17.7,3.7,0.71,0.03,<0.001,0.9,0.12,0.63,0.3,7.0,7.3
Surface Water,0.079,84,210,<0.002,<0.002,<0.002,19.7,2.1,0.58,0.03,<0.001,0.7,0.08,0.58,0.5,6.4,7.6
Middle Water,0.081,92,900,<0.002,<0.002,<0.002,19.7,1.5,0.46,0.03,0.001,<0.5,0.09,0.46,0.4,7.0,7.6
Bottom Water,0.063,93,83,<0.002,<0.002,<0.002,19.7,2.9,0.35,<0.02,<0.001,0.6,0.07,0.35,<0.2,7.0,7.6
Surface Water,0.1,120,230,0.004,0.007,0.004,22.0,3,0.4,0.03,0.006,<0.5,0.11,0.39,0.9,8.7,8.2
Middle Water,0.1,84,200,0.027,0.006,<0.002,22.0,3.3,0.5,0.03,0.006,0.7,0.13,0.47,0.6,6.0,8.3
Bottom Water,0.082,87,390,0.014,0.006,<0.002,22.0,4.2,0.49,0.03,0.005,0.7,0.1,0.47,<0.2,6.3,8.3
Surface Water,0.044,94,6,0.008,0.004,<0.002,24.2,7.4,0.62,0.03,0.002,2.4,0.06,0.61,7.8,6.6,8.1
Middle Water,0.041,100,10,0.019,0.003,<0.002,24.1,5.5,0.66,0.02,0.002,1.7,0.06,0.64,5.6,6.9,8.1
Bottom Water,0.041,98,21,<0.002,<0.002,<0.002,24.1,6.7,0.34,0.03,0.002,1.8,0.05,0.34,6.6,6.8,8.1
Surface Water,0.042,111,410,0.013,<0.002,0.008,27.6,5.5,0.18,0.04,0.002,2.3,0.06,0.16,27,7.6,8.0
Middle Water,0.031,78,330,0.075,0.008,0.008,25.4,2.6,0.14,0.02,0.001,0.6,0.11,0.06,2.4,5.3,7.9
Bottom Water,0.039,80,750,0.05,0.008,0.007,25.3,2.8,0.11,<0.02,0.001,0.9,0.1,<0.05,1.2,5.5,7.9
Surface Water,0.058,83,700,0.24,0.017,0.004,26.6,5.5,0.62,0.04,0.003,2.4,0.32,0.36,18,5.6,8.0
Middle Water,0.048,54,2100,0.22,0.017,0.015,24.2,2.2,0.96,0.04,0.002,0.7,0.29,0.72,7,3.8,7.9
Bottom Water,0.019,44,1100,0.22,0.013,0.015,22.5,5.4,0.28,0.03,<0.001,1.1,0.25,0.05,2.1,3.1,7.8
Surface Water,0.054,106,750,0.15,0.011,0.009,24.6,11,0.54,0.11,0.001,2.5,0.22,0.38,13,7.3,7.7
Middle Water,0.046,47,540,0.18,0.008,0.017,22.6,3.5,0.78,0.03,<0.001,1.1,0.23,0.59,5,3.4,7.6
Bottom Water,0.016,46,340,0.19,0.008,0.017,22.3,11,0.36,0.03,<0.001,2.1,0.21,0.16,5.1,3.3,7.6
Surface Water,0.086,100,55,0.15,0.031,0.013,28.1,3.1,0.48,0.08,0.002,1,0.27,0.3,4.4,6.6,7.6
Middle Water,0.064,80,370,0.08,0.011,0.009,27.9,13,0.43,0.07,0.001,2.2,0.16,0.34,2.2,5.3,7.5
Bottom Water,0.048,77,620,0.074,0.01,0.009,27.7,6.2,0.3,0.07,<0.001,1,0.13,0.22,1.7,5.1,7.4
Surface Water,0.027,70,490,0.042,0.011,0.012,27.4,4.1,0.66,0.07,0.001,1.2,0.08,0.61,2.4,4.6,8.0
Middle Water,0.038,88,270,0.04,0.011,0.012,27.8,4.1,0.34,0.05,0.002,0.9,0.09,0.29,1.4,5.8,8.0
Bottom Water,0.043,90,320,0.026,0.01,<0.002,27.8,4.8,0.43,0.05,0.003,0.8,0.08,0.39,1.7,5.9,8.1
