Depth,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),E. coli (cfu/100mL),Faecal Coliforms (cfu/100mL),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Phaeo-pigments (μg/L),Salinity (psu),Silica (mg/L),Secchi Disc Depth (M),Suspended Solids (mg/L),Temperature (°C),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Turbidity (NTU),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),label
2,0.5,0.06,2.2,75.0,330.0,480,0.01,0.12,0.018,0.2,31.9,0.55,4.2,2.4,16.6,0.19,0.29,0.42,0.03,1.5,0.001,0.5,drinkable
0,0.7,0.045,2.9,76.0,300.0,540,0.003,0.052,0.008,0.2,32.9,0.3,3.5,1.2,18.2,0.1,0.26,0.32,0.02,1.5,0.001,0.5,drinkable
1,0.8,0.047,0.3,93.0,240.0,390,0.003,0.049,0.009,1.4,32.9,0.28,3.5,2.0,18.2,0.1,0.31,0.36,0.02,1.7,0.001,0.5,drinkable
2,0.1,0.046,0.2,93.0,320.0,460,0.004,0.046,0.007,0.9,32.9,0.28,3.5,1.8,18.2,0.1,0.18,0.23,0.02,1.5,0.001,0.5,drinkable
0,0.6,0.14,0.9,83.0,610.0,770,0.014,0.11,0.005,0.2,33.2,0.41,3.2,0.8,21.6,0.26,0.35,0.47,0.04,2.3,0.003,0.5,drinkable
1,0.6,0.18,0.7,84.0,590.0,900,0.015,0.12,0.032,0.2,33.3,0.47,3.2,2.7,21.6,0.32,0.4,0.54,0.05,3.0,0.003,0.6,drinkable
2,0.6,0.06,1.1,87.0,250.0,350,0.007,0.05,0.009,0.2,33.4,0.34,3.2,6.8,21.6,0.12,0.18,0.24,0.02,5.0,0.001,1.7,drinkable
0,1.8,0.12,5.5,80.0,650.0,970,0.02,0.16,0.007,2.6,31.9,0.19,5.0,1.0,24.5,0.3,0.52,0.7,0.04,4.1,0.003,0.9,drinkable
1,1,0.082,7.4,80.0,180.0,500,0.014,0.092,0.009,2.1,32.7,0.16,5.0,1.6,24.0,0.19,0.31,0.42,0.02,3.6,0.002,0.9,drinkable
2,1.1,0.055,9.9,76.0,110.0,200,0.01,0.045,0.008,2.5,33.2,0.17,5.0,2.2,23.7,0.11,0.28,0.34,0.02,3.6,0.001,0.8,drinkable
0,1.7,0.066,18.0,94.0,900.0,5700,0.035,0.31,0.003,1.0,27.8,0.41,3.0,2.6,26.7,0.41,0.37,0.72,0.05,3.8,0.003,1.4,drinkable
1,1.1,0.1,11.0,50.0,2000.0,5100,0.037,0.21,0.004,2.1,32.4,0.69,3.0,3.5,24.1,0.35,0.37,0.62,0.05,4.5,0.002,2.9,good for marine life
2,0.7,0.1,2.6,45.0,10000.0,17000,0.03,0.002,0.006,1.8,33.7,0.94,3.0,8.8,23.2,0.13,0.28,0.31,0.05,11.9,0.002,1.5,good for marine life
0,2.9,0.087,13.0,84.0,110.0,530,0.027,0.1,0.015,5.9,32.5,0.19,3.0,4.0,26.1,0.21,0.32,0.45,0.06,3.6,0.006,0.8,drinkable
1,2.3,0.059,3.9,61.0,140.0,250,0.034,0.048,0.01,3.8,33.4,0.66,3.0,4.7,25.0,0.14,0.21,0.29,0.05,4.4,0.004,1.0,good for marine life
2,1.9,0.053,0.5,53.0,80.0,210,0.037,0.047,0.015,2.0,33.6,0.82,3.0,10.0,24.5,0.14,0.22,0.3,0.04,8.0,0.01,1.6,good for marine life
0,1.2,0.074,5.9,76.0,180.0,570,0.026,0.099,0.004,2.0,32.4,0.95,2.5,2.7,24.5,0.2,0.38,0.51,0.12,3.4,0.002,1.2,drinkable
1,0.7,0.046,2.3,61.0,270.0,550,0.023,0.094,0.013,1.9,33.7,1.0,2.5,4.1,23.2,0.16,0.31,0.43,0.05,4.2,0.001,1.1,good for marine life
2,0.5,0.037,2.9,57.0,130.0,310,0.023,0.091,0.019,2.2,33.9,1.1,2.5,6.8,22.9,0.15,0.25,0.36,0.06,6.7,0.001,1.4,good for marine life
0,0.5,0.18,0.5,54.0,310.0,580,0.02,0.1,0.035,0.2,32.9,1.4,2.5,4.4,24.8,0.3,0.54,0.66,0.08,4.5,0.005,1.0,good for marine life
1,0.5,0.12,1.2,53.0,520.0,820,0.013,0.066,0.023,0.3,33.4,1.1,2.5,2.5,24.5,0.2,0.54,0.62,0.07,7.2,0.004,0.7,good for marine life
2,0.4,0.12,1.2,55.0,100.0,140,0.014,0.06,0.023,0.6,33.6,1.2,2.5,13.0,24.2,0.19,0.62,0.69,0.08,5.2,0.005,3.0,good for marine life
0,0.3,0.11,1.1,67.0,87.0,220,0.08,0.11,0.024,0.9,32.0,1.5,2.2,3.6,28.7,0.3,0.35,0.54,0.04,4.9,0.003,0.9,good for marine life
1,0.2,0.084,1.1,72.0,130.0,260,0.069,0.086,0.021,0.9,32.5,1.2,2.2,3.4,28.6,0.24,0.33,0.49,0.03,4.7,0.003,0.8,good for marine life
2,0.1,0.056,1.8,74.0,87.0,200,0.058,0.055,0.017,1.0,32.9,1.1,2.2,5.7,28.5,0.17,0.31,0.42,0.03,7.9,0.002,1.2,good for marine life
0,0.6,0.082,1.1,81.0,250.0,870,0.015,0.062,0.019,0.7,32.8,0.33,2.5,2.8,26.2,0.16,1.1,1.18,0.06,4.8,0.002,0.5,drinkable
1,0.6,0.075,1.5,86.0,350.0,1100,0.011,0.059,0.02,0.5,32.9,0.32,2.5,3.0,26.2,0.15,0.84,0.91,0.07,5.1,0.002,0.5,drinkable
2,0.6,0.061,1.6,88.0,190.0,450,0.009,0.047,0.017,0.5,33.0,0.3,2.5,3.5,26.2,0.12,0.93,0.99,0.06,6.1,0.004,0.5,drinkable
0,0.7,0.085,2.1,74.0,52.0,120,0.031,0.082,0.023,0.4,32.9,0.91,3.5,13.0,24.0,0.2,0.18,0.29,0.07,4.1,0.002,2.3,drinkable
1,0.8,0.065,1.1,88.0,120.0,310,0.025,0.057,0.017,0.7,33.0,0.81,3.5,7.9,24.0,0.15,0.22,0.3,0.03,3.6,0.001,1.3,drinkable
2,0.7,0.084,1.5,89.0,43.0,90,0.024,0.047,0.016,1.0,33.2,0.77,3.5,8.4,24.0,0.16,0.11,0.18,0.03,5.3,0.003,2.8,drinkable
0,0.6,0.13,0.8,84.0,3800.0,6200,0.033,0.23,0.031,0.5,31.1,1.2,5.0,1.4,20.0,0.39,0.3,0.56,0.07,2.8,0.001,0.5,drinkable
1,0.5,0.064,0.5,90.0,310.0,620,0.021,0.17,0.027,0.3,31.7,1.1,5.0,0.5,19.6,0.26,0.14,0.33,0.04,2.4,0.001,0.5,drinkable
2,0.3,0.058,0.6,91.0,200.0,300,0.021,0.16,0.025,0.2,31.8,1.1,5.0,1.6,19.6,0.24,0.31,0.49,0.05,2.7,0.001,0.6,drinkable
0,1.1,0.05,1.9,97.0,98.0,120,0.023,0.16,0.01,0.6,30.9,0.97,4.0,2.4,15.6,0.23,0.17,0.35,0.03,3.1,0.001,0.5,drinkable
1,0.9,0.058,1.4,99.0,96.0,130,0.024,0.16,0.014,0.4,30.9,1.0,4.0,2.3,15.6,0.24,0.19,0.37,0.03,3.2,0.001,0.8,drinkable
2,1,0.065,1.2,99.0,90.0,220,0.023,0.16,0.017,0.8,30.9,1.0,4.0,2.6,15.6,0.25,0.18,0.36,0.03,3.1,0.001,0.9,drinkable
0,1.2,0.094,4.2,82.0,170.0,270,0.007,0.076,0.004,0.9,31.3,0.75,5.2,1.8,17.1,0.18,0.32,0.4,0.06,1.0,0.003,1.3,drinkable
1,1.4,0.088,3.3,106.0,150.0,220,0.008,0.066,0.006,0.9,31.7,0.74,5.2,1.5,17.4,0.16,0.26,0.33,0.03,1.0,0.003,1.0,drinkable
2,0.9,0.078,2.0,105.0,95.0,130,0.005,0.06,0.005,0.9,31.9,0.73,5.2,1.4,17.4,0.14,0.57,0.64,0.02,1.1,0.003,0.8,drinkable
0,1.5,0.17,1.8,99.0,120.0,250,0.02,0.1,0.015,1.7,31.7,0.75,3.0,9.0,19.2,0.29,0.8,0.92,0.05,1.2,0.005,2.0,drinkable
1,1.5,0.14,0.6,100.0,530.0,760,0.008,0.07,0.01,1.3,32.0,0.66,3.0,9.8,19.0,0.22,0.58,0.66,0.03,1.4,0.004,1.8,drinkable
2,0.8,0.09,0.5,100.0,66.0,100,0.006,0.051,0.006,0.4,32.6,0.66,3.0,10.0,18.7,0.15,0.28,0.34,0.02,2.0,0.002,2.3,drinkable
0,1.2,0.16,0.5,73.0,220.0,720,0.013,0.091,0.024,0.2,31.3,0.95,2.4,3.0,23.3,0.26,0.46,0.56,0.05,1.1,0.005,1.5,drinkable
1,0.9,0.11,0.6,81.0,660.0,1300,0.009,0.057,0.017,0.2,31.8,0.78,2.4,2.2,22.9,0.18,0.37,0.44,0.05,1.2,0.004,0.8,drinkable
2,1,0.096,0.4,82.0,210.0,520,0.009,0.05,0.02,0.2,32.0,0.77,2.4,2.5,22.8,0.16,0.65,0.71,0.03,1.3,0.004,0.8,drinkable
0,0.9,0.06,5.3,75.0,59.0,130,0.032,0.074,0.002,2.1,31.6,0.3,4.5,2.1,25.6,0.17,0.37,0.48,0.04,0.9,0.002,1.1,drinkable
1,0.5,0.041,3.3,52.0,80.0,250,0.038,0.024,0.002,1.9,32.1,0.37,4.5,9.4,25.2,0.1,0.49,0.55,0.02,0.9,0.002,2.0,good for marine life
2,0.5,0.032,2.4,47.0,1700.0,2700,0.044,0.027,0.005,1.1,33.7,0.43,4.5,11.0,24.5,0.1,0.38,0.45,0.02,1.2,0.001,2.8,good for marine life
0,1.7,0.13,9.0,80.0,1800.0,5400,0.022,0.36,0.024,2.1,26.3,1.7,2.5,4.4,25.9,0.51,0.24,0.62,0.09,2.5,0.001,1.3,drinkable
1,1.4,0.1,5.1,54.0,830.0,1500,0.018,0.27,0.024,2.1,29.3,1.4,2.5,2.6,24.9,0.39,0.23,0.52,0.07,1.7,0.001,0.8,good for marine life
2,1,0.049,2.1,38.0,250.0,830,0.007,0.19,0.02,2.0,32.9,1.3,2.5,7.2,23.2,0.25,0.72,0.92,0.04,4.3,0.001,1.3,non consumable
0,0.9,0.066,1.4,71.0,300.0,920,0.02,0.1,0.017,0.8,32.9,1.1,4.0,2.9,24.0,0.19,0.23,0.35,0.03,6.0,0.002,0.6,good for marine life
1,1,0.044,1.1,60.0,130.0,300,0.013,0.071,0.015,1.8,33.6,0.94,4.0,5.6,23.5,0.13,0.36,0.44,0.03,5.4,0.001,1.0,good for marine life
2,0.8,0.046,1.6,60.0,180.0,350,0.014,0.071,0.013,1.1,33.7,0.94,4.0,6.3,23.5,0.13,0.38,0.47,0.03,6.8,0.001,1.1,good for marine life
0,0.9,0.042,5.6,85.0,53.0,150,0.018,0.088,0.008,2.1,31.7,0.99,3.0,1.4,27.4,0.15,0.56,0.67,0.02,4.1,0.001,0.5,drinkable
1,0.4,0.075,2.0,64.0,190.0,500,0.026,0.14,0.023,1.3,31.9,1.7,3.0,3.8,26.8,0.24,0.64,0.81,0.05,2.4,0.002,0.8,good for marine life
2,0.4,0.076,1.4,52.0,200.0,600,0.027,0.15,0.025,1.4,32.2,1.9,3.0,3.9,26.3,0.25,0.68,0.86,0.04,4.9,0.001,0.8,good for marine life
0,0.2,0.075,2.7,88.0,200.0,500,0.027,0.04,0.017,0.2,32.3,1.5,2.5,3.2,28.2,0.14,0.37,0.44,0.02,8.1,0.003,0.5,drinkable
1,0.1,0.072,0.8,78.0,85.0,130,0.028,0.037,0.016,2.4,32.4,1.5,2.5,3.3,28.2,0.14,0.35,0.42,0.03,4.2,0.003,0.6,drinkable
2,0.1,0.064,1.2,79.0,90.0,180,0.027,0.032,0.015,0.2,32.5,1.4,2.5,4.6,28.2,0.12,0.14,0.2,0.02,4.7,0.003,0.9,drinkable
0,0.7,0.036,2.3,87.0,120.0,340,0.016,0.071,0.014,2.0,31.0,0.37,3.0,5.7,25.8,0.12,1.3,1.39,0.04,5.5,0.001,1.0,drinkable
1,0.7,0.045,2.3,97.0,200.0,420,0.016,0.071,0.015,2.0,31.3,0.38,3.0,10.0,26.3,0.13,0.52,0.61,0.03,5.8,0.002,2.2,drinkable
2,0.6,0.042,2.1,98.0,250.0,440,0.016,0.066,0.016,0.7,31.3,0.36,3.0,6.8,26.3,0.12,0.65,0.73,0.04,6.0,0.002,1.1,drinkable
0,0.2,0.02,1.6,79.0,180.0,280,0.052,0.11,0.012,0.4,31.0,1.1,2.5,4.8,22.6,0.18,0.25,0.41,0.03,6.8,0.001,1.0,drinkable
1,0.2,0.016,0.9,89.0,100.0,240,0.049,0.038,0.002,0.8,31.1,1.1,2.5,4.5,22.9,0.1,0.16,0.25,0.03,5.2,0.001,1.1,drinkable
2,0.2,0.012,1.2,90.0,130.0,250,0.051,0.11,0.013,0.7,31.2,1.1,2.5,4.4,22.9,0.17,0.31,0.47,0.04,5.3,0.001,1.0,drinkable
0,0.6,0.13,2.6,90.0,120.0,310,0.017,0.11,0.004,1.0,30.4,0.35,4.0,2.2,20.2,0.26,0.31,0.44,0.04,0.8,0.004,1.0,drinkable
1,1.2,0.091,2.3,102.0,80.0,130,0.017,0.054,0.003,0.8,30.5,0.28,4.0,2.1,20.0,0.16,0.72,0.79,0.03,0.8,0.004,0.8,drinkable
2,0.8,0.09,2.5,102.0,52.0,120,0.012,0.086,0.011,2.0,30.5,0.27,4.0,2.1,20.0,0.19,0.49,0.59,0.02,0.9,0.004,0.8,drinkable
0,0.6,0.056,0.7,92.0,95.0,150,0.028,0.087,0.003,0.2,31.1,1.2,3.0,2.9,18.4,0.17,0.21,0.33,0.03,4.2,0.0,0.6,drinkable
1,0.5,0.056,0.6,93.0,80.0,130,0.027,0.15,0.016,0.3,31.1,1.2,3.0,3.3,18.4,0.23,0.23,0.41,0.03,4.3,0.0,0.8,drinkable
2,0.6,0.054,0.6,94.0,81.0,100,0.026,0.15,0.017,0.5,31.2,1.2,3.0,5.9,18.3,0.23,0.27,0.45,0.04,6.0,0.0,0.9,drinkable
0,0.6,0.058,1.5,83.0,8.0,15,0.014,0.11,0.005,0.9,31.9,0.83,3.0,2.4,17.8,0.18,0.31,0.43,0.02,3.0,0.001,0.8,drinkable
1,0.6,0.06,1.3,97.0,88.0,120,0.014,0.11,0.016,0.7,31.9,0.83,3.0,1.3,17.6,0.18,0.47,0.59,0.03,3.3,0.001,0.5,drinkable
2,0.5,0.05,1.4,97.0,72.0,110,0.012,0.1,0.018,1.1,32.0,0.8,3.0,2.6,17.7,0.16,0.4,0.51,0.03,3.4,0.001,0.6,drinkable
0,0.4,0.057,3.6,105.0,59.0,110,0.017,0.22,0.045,1.6,31.9,0.72,3.0,7.9,20.4,0.29,0.44,0.68,0.07,0.5,0.002,2.0,drinkable
1,0.1,0.047,1.8,99.0,65.0,100,0.005,0.049,0.008,1.4,32.8,0.54,3.0,9.9,20.0,0.1,0.16,0.21,0.05,1.7,0.001,2.0,drinkable
2,0.1,0.048,1.6,101.0,32.0,54,0.006,0.01,0.004,0.2,33.0,0.49,3.0,8.1,20.0,0.06,0.19,0.21,0.07,0.8,0.002,1.6,drinkable
0,0.5,0.076,0.9,69.0,160.0,810,0.013,0.056,0.011,0.5,31.1,0.79,4.5,5.3,24.1,0.15,0.41,0.48,0.06,2.7,0.002,0.8,good for marine life
1,0.3,0.095,1.3,79.0,93.0,140,0.014,0.077,0.012,0.4,32.7,0.82,4.5,2.8,23.3,0.19,0.62,0.71,0.03,3.4,0.002,0.8,drinkable
2,0.5,0.21,0.8,78.0,27.0,73,0.019,0.18,0.004,0.4,33.0,1.1,4.5,1.9,23.2,0.41,0.89,1.09,0.06,5.1,0.006,0.6,drinkable
0,2.7,0.061,31.0,113.0,390.0,3100,0.027,0.32,0.003,4.5,28.3,0.09,2.6,3.5,28.1,0.41,0.35,0.7,0.1,2.2,0.003,2.2,drinkable
1,1.5,0.077,8.8,92.0,210.0,680,0.02,0.21,0.01,2.6,31.9,0.28,2.6,1.6,26.6,0.31,0.33,0.56,0.03,1.1,0.003,1.2,drinkable
2,0.7,0.045,2.9,80.0,65.0,130,0.015,0.053,0.008,0.4,33.1,0.47,2.6,3.8,26.1,0.11,0.17,0.24,0.02,3.4,0.002,1.1,drinkable
0,1.8,0.064,12.0,96.0,150.0,550,0.054,0.62,0.007,1.9,24.4,1.8,2.6,2.2,27.2,0.74,0.27,0.94,0.09,1.8,0.002,1.3,drinkable
1,1.1,0.1,6.8,53.0,170.0,460,0.028,0.18,0.02,3.4,33.0,1.0,2.6,2.4,23.9,0.31,0.72,0.93,0.04,3.1,0.002,1.0,good for marine life
2,0.9,0.081,1.1,50.0,16.0,67,0.014,0.063,0.018,2.5,33.9,0.86,2.6,6.8,23.3,0.16,0.67,0.75,0.03,4.0,0.001,1.6,good for marine life
0,1.5,0.058,16.0,80.0,270.0,800,0.051,0.27,0.019,2.1,28.9,1.0,3.0,2.3,27.2,0.38,0.57,0.89,0.05,1.1,0.003,0.8,drinkable
1,0.6,0.032,3.9,51.0,42.0,93,0.018,0.091,0.018,1.6,33.6,1.1,3.0,5.4,23.9,0.14,0.86,0.97,0.14,2.6,0.001,1.0,good for marine life
2,0.4,0.022,1.3,48.0,13.0,41,0.017,0.071,0.016,0.2,34.2,1.2,3.0,10.0,23.4,0.11,0.36,0.45,0.07,4.9,0.001,1.8,good for marine life
0,1.5,0.12,9.3,73.0,80.0,170,0.066,0.23,0.033,2.5,30.0,1.8,2.4,5.0,27.2,0.42,0.45,0.75,0.06,7.2,0.003,1.6,good for marine life
1,0.8,0.044,1.4,66.0,84.0,90,0.041,0.08,0.021,1.1,32.8,1.2,2.4,7.0,25.8,0.17,0.37,0.49,0.06,6.3,0.001,1.1,good for marine life
2,0.7,0.008,0.7,72.0,15.0,29,0.034,0.052,0.017,0.7,33.5,0.99,2.4,13.0,25.6,0.09,0.3,0.39,0.04,7.8,0.0,2.1,good for marine life
0,0.4,0.05,0.9,76.0,230.0,370,0.017,0.04,0.017,0.9,31.9,1.1,2.5,4.8,29.4,0.11,0.28,0.34,0.04,3.8,0.003,1.0,good for marine life
1,0.2,0.043,1.0,85.0,77.0,160,0.017,0.037,0.014,0.3,32.0,1.1,2.5,2.0,29.4,0.1,0.5,0.55,0.02,2.9,0.002,0.5,drinkable
2,0.3,0.034,0.7,87.0,52.0,110,0.015,0.023,0.013,0.5,32.1,0.94,2.5,14.0,29.4,0.07,0.36,0.4,0.02,5.4,0.002,1.9,drinkable
0,0.9,0.021,5.3,86.0,220.0,710,0.011,0.056,0.014,3.0,32.4,0.19,3.0,3.9,24.9,0.09,0.88,0.95,0.03,2.1,0.001,1.1,drinkable
1,0.6,0.027,4.3,101.0,220.0,350,0.008,0.039,0.013,2.2,32.8,0.21,3.0,5.3,25.5,0.07,1.0,1.05,0.03,3.2,0.001,1.2,drinkable
2,0.5,0.027,3.6,102.0,100.0,250,0.008,0.021,0.011,1.7,32.8,0.23,3.0,4.3,25.5,0.06,1.0,1.03,0.02,2.8,0.001,1.0,drinkable
0,0.1,0.061,1.0,80.0,200.0,810,0.04,0.22,0.053,0.2,32.4,1.3,3.0,5.9,22.5,0.32,0.17,0.43,0.06,1.6,0.001,0.8,drinkable
1,0.1,0.021,0.6,89.0,110.0,410,0.028,0.14,0.029,0.3,32.9,1.1,3.0,2.9,22.4,0.19,0.29,0.46,0.04,1.9,0.001,0.5,drinkable
2,0.1,0.027,0.7,90.0,250.0,570,0.027,0.13,0.029,0.4,33.0,1.1,3.0,6.2,22.4,0.18,0.28,0.44,0.04,2.1,0.001,1.0,drinkable
0,0.3,0.058,0.8,85.0,400.0,750,0.011,0.2,0.033,0.6,32.1,1.4,3.5,2.1,18.1,0.27,0.16,0.37,0.04,7.6,0.002,0.8,drinkable
1,0.4,0.056,0.5,93.0,410.0,540,0.009,0.2,0.033,0.2,32.1,1.2,3.5,2.5,18.0,0.27,0.19,0.4,0.04,7.7,0.002,0.6,drinkable
2,0.3,0.037,0.4,95.0,170.0,490,0.007,0.2,0.028,0.2,32.2,1.2,3.5,2.6,17.9,0.24,0.5,0.71,0.04,8.3,0.002,0.6,drinkable
0,0.6,0.044,1.4,91.0,240.0,440,0.01,0.044,0.004,0.6,32.5,0.61,2.5,3.2,16.1,0.1,0.13,0.18,0.02,1.6,0.001,0.8,drinkable
1,0.5,0.037,1.3,93.0,430.0,1100,0.007,0.056,0.004,1.2,32.5,0.63,2.5,2.8,16.1,0.1,0.21,0.27,0.02,1.6,0.001,0.8,drinkable
2,0.4,0.042,1.4,93.0,410.0,850,0.011,0.032,0.004,0.4,32.5,0.62,2.5,2.9,16.1,0.09,0.39,0.43,0.02,1.9,0.001,0.7,drinkable
0,0.6,0.1,1.4,93.0,70.0,150,0.022,0.12,0.024,0.7,32.0,0.69,3.0,7.3,18.0,0.24,0.32,0.46,0.04,1.2,0.003,1.3,drinkable
1,0.4,0.087,1.4,97.0,340.0,510,0.013,0.088,0.011,0.2,32.2,0.66,3.0,6.4,17.9,0.19,0.25,0.35,0.03,1.4,0.003,1.1,drinkable
2,0.4,0.064,0.9,100.0,97.0,130,0.012,0.076,0.011,0.8,32.3,0.63,3.0,8.1,17.9,0.15,0.19,0.28,0.02,1.3,0.002,1.2,drinkable
0,0.7,0.099,0.9,79.0,19.0,27,0.002,0.09,0.025,0.8,33.0,0.63,3.2,8.7,22.7,0.19,0.64,0.73,0.03,1.3,0.003,1.5,drinkable
1,0.6,0.052,0.6,91.0,4.0,7,0.002,0.028,0.017,0.3,33.6,0.49,3.2,11.0,22.3,0.08,0.64,0.67,0.02,2.3,0.002,1.9,drinkable
2,0.5,0.05,0.8,92.0,2.0,2,0.004,0.011,0.002,0.7,33.7,0.43,3.2,8.4,22.2,0.07,0.44,0.46,0.02,3.4,0.002,1.7,drinkable
0,0.8,0.094,5.6,91.0,68.0,140,0.002,0.069,0.022,1.8,33.2,0.29,2.5,2.5,24.4,0.17,0.18,0.25,0.03,1.7,0.005,0.6,drinkable
1,0.5,0.053,4.1,93.0,32.0,77,0.002,0.016,0.013,1.3,33.5,0.2,2.5,5.5,24.2,0.07,0.4,0.42,0.02,2.0,0.003,0.8,drinkable
2,0.5,0.051,3.7,92.0,30.0,59,0.002,0.12,0.012,2.0,33.7,0.25,2.5,6.4,24.0,0.17,0.41,0.53,0.02,3.1,0.003,1.4,drinkable
0,0.6,0.11,5.6,77.0,230.0,550,0.02,0.15,0.016,0.8,31.7,0.49,3.0,11.0,27.1,0.28,0.43,0.6,0.02,1.7,0.004,1.7,drinkable
1,0.3,0.076,6.1,79.0,110.0,240,0.022,0.096,0.016,0.8,32.6,0.41,3.0,9.7,25.6,0.19,0.41,0.53,0.02,2.0,0.003,1.2,drinkable
2,0.3,0.068,3.6,74.0,78.0,120,0.019,0.068,0.012,3.5,33.7,0.45,3.0,4.9,24.3,0.16,0.45,0.54,0.02,3.3,0.002,0.8,drinkable
0,1.5,0.068,14.0,76.0,220.0,690,0.065,0.38,0.016,6.3,27.5,0.21,3.0,9.5,27.4,0.51,0.36,0.81,0.03,2.0,0.003,2.0,drinkable
1,0.4,0.039,1.6,55.0,55.0,140,0.019,0.054,0.018,1.2,33.6,0.58,3.0,14.0,23.3,0.11,0.49,0.56,0.02,3.8,0.001,2.4,good for marine life
2,0.2,0.027,0.8,57.0,8.0,17,0.015,0.024,0.019,0.7,34.1,0.63,3.0,16.0,22.9,0.07,0.31,0.35,0.02,5.0,0.001,2.8,good for marine life
0,2.1,0.084,26.0,96.0,390.0,1100,0.052,0.21,0.005,5.8,28.3,0.16,3.0,8.1,28.4,0.35,0.32,0.58,0.03,1.3,0.006,2.9,drinkable
1,0.6,0.088,3.5,53.0,140.0,610,0.032,0.12,0.017,3.2,32.1,1.2,3.0,14.0,25.5,0.24,0.63,0.78,0.03,3.0,0.003,2.7,good for marine life
2,0.6,0.083,2.9,47.0,85.0,360,0.027,0.11,0.022,4.9,33.4,1.2,3.0,29.0,24.2,0.22,1.1,1.24,0.05,7.5,0.003,6.6,good for marine life
0,0.4,0.09,0.5,81.0,370.0,1900,0.064,0.2,0.031,0.2,28.1,2.0,3.8,5.0,26.6,0.35,0.32,0.58,0.05,1.1,0.003,1.3,drinkable
1,0.3,0.016,0.5,54.0,56.0,140,0.044,0.091,0.021,0.5,33.5,1.3,3.8,17.0,23.2,0.15,0.19,0.33,0.03,3.9,0.001,4.4,good for marine life
2,0.1,0.005,0.7,55.0,36.0,72,0.042,0.079,0.022,0.7,34.1,1.3,3.8,20.0,22.8,0.13,0.07,0.19,0.03,7.4,0.001,3.4,good for marine life
0,0.7,0.063,0.4,84.0,150.0,nan,0.022,0.049,0.016,1.8,32.5,0.84,2.0,8.4,26.6,0.13,0.32,0.39,0.02,4.6,0.003,1.6,drinkable
1,0.7,0.054,0.2,84.0,160.0,nan,0.025,0.045,0.016,1.7,32.5,0.82,2.0,9.4,26.6,0.12,0.27,0.34,0.02,4.1,0.002,2.0,drinkable
2,0.7,0.053,0.3,88.0,120.0,nan,0.021,0.039,0.011,1.8,32.6,0.8,2.0,5.8,26.6,0.11,0.21,0.27,0.02,4.5,0.002,2.0,drinkable
0,0.9,0.039,3.9,76.0,140.0,730,0.006,0.024,0.01,2.8,32.7,0.15,2.0,4.0,24.9,0.07,0.18,0.21,0.02,2.9,0.001,0.8,drinkable
1,0.9,0.037,4.1,102.0,250.0,390,0.004,0.017,0.009,3.4,32.8,0.14,2.0,3.9,24.9,0.06,0.18,0.2,0.02,2.6,0.001,0.8,drinkable
2,0.8,0.033,3.7,102.0,91.0,110,0.002,0.007,0.009,3.1,32.9,0.11,2.0,6.4,24.9,0.04,0.17,0.18,0.02,3.3,0.001,1.3,drinkable
0,0.4,0.12,0.7,78.0,140.0,190,0.052,0.15,0.039,2.4,32.4,0.84,3.0,3.8,23.4,0.32,0.34,0.54,0.06,1.8,0.003,0.8,drinkable
1,0.3,0.067,1.3,87.0,400.0,1200,0.033,0.077,0.019,2.0,33.0,0.66,3.0,4.0,23.3,0.18,0.21,0.32,0.03,2.6,0.002,0.7,drinkable
2,0.3,0.029,3.7,94.0,170.0,420,0.02,0.041,0.015,0.8,33.3,0.48,3.0,5.0,23.2,0.09,0.16,0.22,0.02,2.3,0.001,1.2,drinkable
0,0.7,0.02,0.8,82.0,150.0,190,0.021,0.077,0.018,0.3,33.3,0.84,2.0,3.6,19.2,0.12,0.39,0.49,0.03,1.8,0.001,0.9,drinkable
1,0.3,0.02,0.2,96.0,470.0,680,0.018,0.067,0.017,0.7,33.3,0.85,2.0,4.2,19.2,0.11,0.1,0.19,0.03,2.0,0.001,0.7,drinkable
2,0.3,0.014,0.4,96.0,260.0,270,0.018,0.065,0.016,0.9,33.3,0.83,2.0,4.1,19.2,0.1,0.2,0.28,0.03,2.0,0.001,0.8,drinkable
0,0.8,0.089,0.9,91.0,410.0,610,0.017,0.11,0.016,0.8,31.7,0.51,3.2,6.3,19.4,0.22,0.43,0.56,0.04,0.5,0.002,1.6,drinkable
1,0.4,0.067,0.6,99.0,430.0,720,0.01,0.077,0.013,0.3,32.4,0.51,3.2,6.9,19.3,0.15,0.3,0.39,0.02,0.5,0.002,1.6,drinkable
2,0.5,0.062,0.7,100.0,250.0,470,0.008,0.043,0.002,0.4,32.6,0.51,3.2,6.9,19.3,0.11,0.3,0.35,0.02,0.4,0.002,1.7,drinkable
0,0.5,0.043,2.9,94.0,42.0,110,0.01,0.045,0.011,1.2,32.7,0.44,4.7,1.5,19.7,0.1,0.35,0.41,0.02,0.3,0.001,0.7,drinkable
