"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Silica (mg/L)","Secchi Disc Depth (M)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Mirs Bay","MM1","1991-01-29","1","Surface Water","2","0.097","3.5","109","8.6","80","90","<0.002","<0.002","0.01","8.2","3.1","32.5","0.38","1.5","2.5","17.3","0.1","0.6","0.6","0.03","4.1","0.004","1.5"
"Mirs Bay","MM1","1991-01-29","1","Middle Water","2.1","0.11","2.4","114","9","270","270","0.002","<0.002","0.01","8.2","2.3","32.5","0.37","1.5","1","17.3","0.11","0.78","0.78","0.03","3.8","0.004","0.5"
"Mirs Bay","MM1","1991-01-29","1","Bottom Water","2","0.09","1.9","103","8.1","250","260","0.003","<0.002","0.005","8.2","1.3","32.6","0.36","1.5","1","17","0.1","0.68","0.69","0.03","3.7","0.004","<0.5"
"Mirs Bay","MM1","1991-02-28","1","Surface Water","2.1","0.016","9.3","152","12.9","3","3","0.03","0.002","0.021","8.2","1.5","32.3","0.64","1.8","2","18.3","0.05","1.4","1.43","0.05","3.7","0.001","<0.5"
"Mirs Bay","MM1","1991-02-28","1","Middle Water","1.5","0.068","5.9","106","9.1","4","5","0.02","<0.002","0.012","8.1","3.5","32.4","1.1","1.8","16","18.1","0.09","1.4","1.42","0.05","10","0.002","3"
"Mirs Bay","MM1","1991-02-28","1","Bottom Water","1.8","0.09","8.5","97","8.3","1","1","0.031","0.002","0.01","8.2","3.8","32.7","0.64","1.8","2","17.7","0.12","1.4","1.43","0.06","6","0.003","<0.5"
"Mirs Bay","MM1","1991-03-26","1","Surface Water","1.3","0.15","1.6","98","7.7","8","10","0.031","0.004","0.028","8.2","0.5","32.1","0.92","3","0.5","21.5","0.19","0.77","0.81","0.06","3","0.008","<0.5"
"Mirs Bay","MM1","1991-03-26","1","Middle Water","0.7","0.066","0.3","88","7.1","2","3","0.021","0.004","0.016","8.2","0.9","32.2","1.1","3","<0.5","20.7","0.09","0.59","0.62","0.04","3.5","0.003","<0.5"
"Mirs Bay","MM1","1991-03-26","1","Bottom Water","0.6","0.082","1.1","68","5.6","1","1","0.022","0.007","0.015","8.1","<0.2","32.7","1.4","3","7.5","19.5","0.11","0.56","0.59","0.05","8.2","0.003","6"
"Mirs Bay","MM1","1991-05-09","1","Surface Water","2.7","0.295","1.6","100","7.4","14","14","0.054","0.013","0.043","8","2.9","32","0.95","1.8","2","24.4","0.36","0.72","0.79","0.08","3.1","0.011","1.5"
"Mirs Bay","MM1","1991-05-09","1","Middle Water","0.7","0.085","0.3","102","7.5","9","9","0.003","<0.002","0.011","8.1","2","32.7","0.45","1.8","2.5","24.2","0.09","0.42","0.43","0.04","2.8","0.004","1"
"Mirs Bay","MM1","1991-05-09","1","Bottom Water","0.9","0.061","1.1","93","7","10","12","<0.002","0.005","0.007","8.1","0.2","32.9","0.46","1.8","2","23.5","0.07","0.36","0.37","0.04","3.3","0.003","1"
