"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Silica (mg/L)","Secchi Disc Depth (M)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1988-10-10","1","Bottom Water","1.8","0.79","7.3","N/A","N/A","1","1","0.42","0.16","0.34","N/A","1.4","N/A","3.4","1.2","9","N/A","1.37","1.2","1.78","0.4","N/A","N/A","2.5"
"Deep Bay","DM1","1988-11-24","1","Surface Water","5.5","3.1","5","70","5.5","2600","2700","0.46","0.22","0.68","N/A","6.7","26.1","5.4","0.5","210","18.9","3.78","4","4.68","1.2","100","N/A","27"
"Deep Bay","DM1","1988-12-09","1","Surface Water","2.4","3.1","2.3","62","5.2","6000","6500","0.42","0.22","0.73","7.8","5.8","23.6","5.6","N/A","160","17","3.74","3.5","4.14","1.1","100","0.053","19"
"Deep Bay","DM1","1989-01-13","1","Surface Water","3","4.8","1.9","56","5","24000","26000","0.22","0.16","0.97","7.6","6.5","22","6","N/A","23","14.6","5.18","6.2","6.58","1.4","208","0.047","25"
"Deep Bay","DM1","1989-02-17","1","Surface Water","5.5","3.2","3.2","82","6.6","1900","1900","0.47","0.21","0.75","8","5.9","26.4","4","0.7","14","17.5","3.88","3.7","4.38","0.87","14","0.085","3"
"Deep Bay","DM1","1989-03-14","1","Surface Water","4.3","3.7","9.3","53","4.3","3200","3500","0.45","0.25","0.81","7.7","5.3","18.3","4.9","0.8","150","19.2","4.4","4.8","5.5","0.97","360","0.055","17"
"Deep Bay","DM1","1989-04-14","1","Surface Water","1.5","3.3","2.5","72","6","9000","11000","0.76","0.2","0.74","7.8","0.5","19","6.7","N/A","13","22","4.26","3.9","4.86","0.83","18.5","0.087","2.5"
"Deep Bay","DM1","1989-05-12","1","Surface Water","1.2","0.6","6.1","79","5.5","100","100","1.2","0.11","0.28","7.8","5.6","15","5.6","0.3","8.5","29.2","1.91","1.4","2.71","0.34","20","0.027","2.5"
"Deep Bay","DM1","1989-06-12","1","Surface Water","6.2","4.3","24","39","3","52000","56000","0.21","0.11","1.2","7.8","14","8.7","9.3","0.2","61","25.8","4.62","5.9","6.22","1.6","65","0.171","6"
"Deep Bay","DM1","1989-07-20","1","Surface Water","1.7","0.81","2.5","67","4.8","1100","1100","0.42","0.15","0.31","8.3","1","16.8","5.3","N/A","20","27.8","1.38","1.3","1.87","0.35","22","0.092","3.5"
"Deep Bay","DM1","1989-08-18","1","Surface Water","3.9","1.8","20","68","4.8","1","300","0.33","0.21","0.53","8.3","4","15","4.5","0.5","23","30.5","2.34","2.5","3.04","0.69","20.5","0.251","6.5"
"Deep Bay","DM1","1989-09-18","1","Surface Water","1.3","1.2","0.5","35","2.5","5900","6500","0.14","0.11","0.4","8","2.1","21.6","2.9","0.2","38","26.4","1.45","2.6","2.85","0.55","36.5","0.059","6.5"
"Deep Bay","DM1","1989-10-16","1","Surface Water","1.2","1.5","4.6","66","4.5","700","800","0.42","0.26","0.49","8.1","2.2","26","4.2","0.5","38","26.1","2.18","1.8","2.48","0.53","39","0.085","7"
"Deep Bay","DM1","1989-11-13","1","Surface Water","1.1","2.1","13","99","7.4","800","900","0.47","0.3","0.44","8","2.8","23.5","5.8","0.4","40","23","2.87","2.5","3.27","0.54","44","0.077","6"
"Deep Bay","DM1","1989-12-11","1","Surface Water","5.4","3.8","17","83","6.4","1100","1200","0.33","0.19","0.75","8.1","1.9","26.9","4.3","0.5","29","18.7","4.32","6","6.52","1","30.5","0.126","5"
"Deep Bay","DM1","1990-01-12","1","Surface Water","3.2","4.6","5.1","40","3.3","11000","11000","0.46","0.22","0.9","7.3","2.4","24.5","5.8","0.5","34","19.3","5.28","5.7","6.38","1.1","50","0.03","4.5"
"Deep Bay","DM1","1990-02-12","1","Surface Water","3.2","1.5","2.9","61","5.2","11000","11000","0.41","0.2","0.42","7.4","2.1","24.8","1.9","0.3","87","18.7","2.11","2.3","2.91","1","50","0.012","9"
"Deep Bay","DM1","1990-03-16","1","Surface Water","2.1","0.5","1.1","66","5.4","800","900","0.62","1","0.42","7.3","2.3","24","4.6","0.4","50","20.4","2.12","2.2","3.82","0.56","39","0.003","5"
"Deep Bay","DM1","1990-04-17","1","Surface Water","1.6","0.59","1.3","72","5.8","4000","4200","0.79","0.2","0.31","7.6","1.3","18.1","5","0.4","38","21","1.58","2.5","3.49","0.41","36","0.008","6.5"
"Deep Bay","DM1","1990-05-14","1","Surface Water","1.1","3.5","1.1","37","2.6","4700","5300","0.55","0.18","0.52","7.3","0.6","16.8","5.7","0.8","16","27.3","4.23","5.9","6.63","0.93","19","0.046","2"
"Deep Bay","DM1","1990-06-15","1","Surface Water","0.5","0.023","1.1","83","5.4","100","100","0.2","0.051","0.39","7.8","1.2","11.6","6.9","1","17","31.3","0.27","1.4","1.65","0.48","18","0.001","2"
"Deep Bay","DM1","1990-07-13","1","Surface Water","3.1","0.89","1.1","69","4.5","1400","1400","1.1","0.69","0.3","8.1","5.5","6.6","8.1","0.2","160","31.4","2.68","2","3.79","0.38","600","0.087","15"
"Deep Bay","DM1","1990-08-10","1","Surface Water","3.5","0.45","0.3","N/A","N/A","300","300","0.85","1","0.35","8.1","3.5","14","7.4","0.2","90","N/A","2.3","1.2","3.05","0.52","94","N/A","10"
"Deep Bay","DM1","1990-09-25","1","Surface Water","0.8","3.5","4.5","88","5.7","900","1100","0.78","0.28","0.71","7.7","2.6","14.5","7.5","0.4","12","30.7","4.56","3.7","4.76","0.88","18","0.135","1.5"
"Deep Bay","DM1","1990-10-19","1","Surface Water","1.5","3.1","14","155","11","300","500","0.55","0.33","0.71","7.6","0.3","22.8","5.3","0.5","12","26.5","3.98","4.4","5.28","0.95","14","0.068","1"
"Deep Bay","DM1","1990-11-19","1","Surface Water","2.5","2","3.2","60","4.5","15000","15000","0.44","0.25","0.49","7.7","1.8","22.3","5.6","0.5","30","24.3","2.69","2.6","3.29","0.96","18.9","0.048","3.5"
"Deep Bay","DM1","1990-12-18","1","Surface Water","5.6","9.7","2.1","80","4.7","98000","110000","0.41","0.33","1.2","7.5","2.9","24.4","6.3","0.4","39","19.7","10.44","11","11.74","2","20","0.095","12"
"Deep Bay","DM1","1991-01-21","1","Surface Water","14","11","3.7","8","0.7","68000","68000","0.22","0.098","1.3","7.4","4.1","19.6","6.8","0.1","97","18","11.32","12","12.32","2.4","89","0.089","8.5"
"Deep Bay","DM1","1991-02-25","1","Surface Water","2.6","5.8","9.6","116","10.4","33000","36000","0.47","0.28","1.1","7.6","3.5","23.9","3.8","0.8","23","16.7","6.55","6.8","7.55","1.1","12","0.061","6"
"Deep Bay","DM1","1991-03-18","1","Surface Water","1.9","1.9","2.1","102","8.3","1600","1700","0.34","0.17","0.38","7.6","5.3","24.7","2.6","0.4","32","20.1","2.41","7","7.51","0.66","31","0.027","4.5"
"Deep Bay","DM1","1991-04-18","1","Surface Water","1.3","0.2","4.8","78","5.8","150","150","0.77","0.096","0.25","7.9","4.5","19.7","3.8","0.1","100","24.9","1.07","0.29","1.16","0.36","95","0.008","9.5"
"Deep Bay","DM1","1991-05-20","1","Surface Water","2.9","3.99","16","59","4","6200","6800","0.401","0.359","0.954","7.5","6.5","20.9","5.41","0.4","26","27.6","4.75","4.2","4.96","2.31","31","0.076","4.5"
"Deep Bay","DM1","1991-06-14","1","Surface Water","0.8","0.362","2","70","5.3","2100","2300","0.448","0.089","0.197","7.7","3.6","10.1","4.78","0.6","37","27.1","0.9","1.27","1.81","0.25","30","0.012","4"
"Deep Bay","DM1","1991-07-15","1","Surface Water","3.7","0.663","45","94","7.1","2700","3900","0.652","0.296","0.322","8.3","28","12.1","0.19","0.4","77","26","1.61","0.82","1.77","0.49","45","0.076","10"
"Deep Bay","DM1","1991-08-29","1","Surface Water","2.9","0.572","15","45","3.3","18000","21000","0.492","1.83","0.47","8","39","14.4","0.16","0.4","250","27","2.89","2.64","4.96","1.02","160","0.034","28"
"Deep Bay","DM1","1991-09-24","1","Surface Water","0.4","1.18","5.1","53","3.7","800","800","0.214","0.203","0.437","7.7","5.2","25.1","1.7","0.5","28","26.2","1.6","1.3","1.72","0.51","30","0.029","3"
"Deep Bay","DM1","1991-11-08","1","Surface Water","5","3.79","67","116","8.7","3800","4600","0.364","0.341","0.827","8.1","43","29.5","1.7","0.4","66","23.7","4.5","4.2","4.91","1","55","0.175","13"
"Deep Bay","DM1","1991-12-09","1","Surface Water","1.8","2.86","4.5","126","10.4","800","1000","0.28","0.149","0.443","7.7","6.1","28.7","2.7","0.4","39","20.9","3.29","2.9","3.33","0.75","33","0.049","4.5"
