"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Silica (mg/L)","Secchi Disc Depth (M)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Junk Bay","JM3","1986-01-16","1","Surface Water","N/A","N/A","N/A","73","N/A","80","80","N/A","N/A","N/A","N/A","N/A","32.8","N/A","N/A","N/A","16.5","N/A","N/A","N/A","N/A","1.6","N/A","N/A"
"Junk Bay","JM3","1986-01-16","1","Middle Water","1.3","N/A","7.3","74","N/A","70","70","N/A","N/A","N/A","8.1","N/A","32.9","N/A","N/A","43","16.5","N/A","0.4","N/A","0.06","1.3","N/A","N/A"
"Junk Bay","JM3","1986-01-16","1","Bottom Water","N/A","N/A","N/A","82","N/A","250","250","N/A","N/A","N/A","N/A","N/A","32.9","N/A","N/A","N/A","16.2","N/A","N/A","N/A","N/A","1.5","N/A","N/A"
"Junk Bay","JM3","1986-07-07","1","Surface Water","3.4","0.16","18","136","9.2","130","170","0.042","0.013","<0.01","8.5","9.3","24.7","N/A","1.6","5","27.1","0.22","0.66","0.72","0.06","4.8","0.024","1.5"
"Junk Bay","JM3","1986-07-07","1","Middle Water","0.7","0.006","8.6","56","4","N/A","N/A","0.046","0.03","0.01","8.2","3.7","32.3","1.1","1.6","3.5","22.5","0.08","0.64","0.72","0.06","2.5","0.001","1.5"
"Junk Bay","JM3","1986-07-07","1","Bottom Water","0.3","N/A","1","60","4.4","130","130","0.037","0.031","0.01","8.2","<0.2","33.7","1","1.6","2","22.2","N/A","1.6","1.67","0.05","2.3","N/A","0.5"
"Junk Bay","JM3","1986-08-04","1","Surface Water","1.5","0.119","8.4","134","9.1","<1","<1","0.03","0.009","<0.01","8.3","3.4","30.2","0.11","N/A","1.5","29","0.16","0.52","0.56","0.04","2","0.013","0.5"
"Junk Bay","JM3","1986-08-04","1","Middle Water","1.4","0.13","6.5","126","8.5","N/A","N/A","0.028","0.01","0.01","8.3","4.5","30.3","0.16","N/A","2","28.4","0.17","0.61","0.65","0.04","3.2","0.014","0.5"
"Junk Bay","JM3","1986-08-04","1","Bottom Water","1.3","0.037","4.8","58","4.3","27","33","0.008","0.005","<0.01","8.3","3.9","30.6","0.09","N/A","1.5","24.3","0.05","0.52","0.53","0.04","1.6","0.003","<0.5"
"Junk Bay","JM3","1986-09-01","1","Surface Water","0.4","0.309","5.9","91","5.8","2","2","0.038","0.024","0.01","8","15","31.6","0.07","2.2","2","29.6","0.37","0.73","0.79","0.04","1.6","0.018","2"
"Junk Bay","JM3","1986-09-01","1","Middle Water","1.2","0.25","5.3","48","3.1","N/A","N/A","0.024","0.02","<0.01","8","8.1","32.2","0.14","2.2","1.5","28.9","0.29","2","2.04","0.06","1.6","0.014","1"
