"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Silica (mg/L)","Secchi Disc Depth (M)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Junk Bay","JM3","1986-09-01","1","Bottom Water","0.5","0.22","1.9","50","3.2","730","860","0.017","0.028","0.039","7.9","<0.2","32.5","0.96","2.2","0.5","28.5","0.27","0.7","0.74","0.05","2.4","0.01","0.5"
"Junk Bay","JM3","1986-10-10","1","Surface Water","1.7","0.38","0.8","47","3.1","1300","1400","0.048","0.017","0.08","8.1","1","32.8","0.85","1.5","3","27","0.45","0.49","0.56","0.08","5.9","0.022","0.5"
"Junk Bay","JM3","1986-10-10","1","Middle Water","1.9","0.33","1.1","50","3.3","N/A","N/A","0.046","0.02","0.06","8.1","0.7","32.9","0.79","1.5","4.5","26.9","0.4","0.63","0.7","0.07","7","0.02","1"
"Junk Bay","JM3","1986-10-10","1","Bottom Water","1.7","0.3","0.8","54","3.6","1200","1400","0.045","0.017","0.039","8.1","0.8","32.8","0.82","1.5","2.5","26.8","0.36","0.52","0.58","0.08","9.1","0.017","1"
"Junk Bay","JM3","1986-10-11","1","Surface Water","N/A","N/A","N/A","N/A","N/A","1300","1400","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Junk Bay","JM3","1986-11-10","1","Surface Water","0.6","0.11","0.8","87","6.1","2","2","0.031","0.015","0.02","8.3","2.8","33.6","0.62","1.2","2.5","23.1","0.16","0.39","0.44","0.04","4.1","0.007","1"
"Junk Bay","JM3","1986-11-10","1","Middle Water","0.7","0.1","2.5","85","6","N/A","N/A","0.028","0.022","0.02","8.3","0.6","33.6","0.6","1.2","4","23.1","0.15","0.34","0.39","0.04","5.1","0.007","1"
"Junk Bay","JM3","1986-11-10","1","Bottom Water","0.9","0.1","2.9","83","5.9","13","14","0.034","0.021","0.039","8.3","0.3","33.5","0.62","1.2","6","23","0.16","0.29","0.34","0.04","6.9","0.006","1.5"
"Junk Bay","JM3","1986-12-08","1","Surface Water","0.6","0.11","1.1","77","5.9","1400","1400","0.11","0.02","0.029","8.1","<0.2","31.8","3.4","1.8","1","19.2","0.24","0.59","0.72","0.08","3.1","0.004","1"
"Junk Bay","JM3","1986-12-08","1","Middle Water","0.4","0.119","0.8","77","5.9","N/A","N/A","0.11","0.019","0.029","8.1","<0.2","31.7","3","1.8","2","19.2","0.25","0.32","0.45","0.07","3.4","0.004","1"
"Junk Bay","JM3","1986-12-08","1","Bottom Water","0.4","0.13","1","77","5.9","1100","1000","0.11","0.019","0.039","8.1","<0.2","31.8","4.1","1.8","5","19.2","0.26","0.33","0.46","0.06","3.7","0.005","1.5"
"Junk Bay","JM3","1987-01-09","1","Surface Water","0.9","0.11","1.7","103","8","10","10","0.11","0.023","0.02","8.2","<0.2","31.5","0.49","2.6","2","18.1","0.24","0.47","0.6","0.03","2","0.004","1.5"
"Junk Bay","JM3","1987-01-09","1","Middle Water","1.1","0.139","1.5","100","7.8","N/A","N/A","0.11","0.038","0.029","8.2","0.9","31.5","0.56","2.6","5.5","18","0.29","0.63","0.78","0.1","1.5","0.005","2"
"Junk Bay","JM3","1987-01-09","1","Bottom Water","1","0.16","1.7","92","7.2","100","100","0.11","0.057","0.029","8.1","1.1","31.5","0.62","2.6","4.5","17.9","0.33","0.59","0.76","0.05","2.2","0.006","2"
"Junk Bay","JM3","1987-02-09","1","Surface Water","1.1","0.16","1","92","7.4","67","72","0.035","0.06","0.01","8.1","<0.2","32.2","0.5","3.2","0.5","17","0.26","0.25","0.35","0.09","1.4","0.005","0.5"
"Junk Bay","JM3","1987-02-09","1","Middle Water","1","0.149","0.8","91","7.3","N/A","N/A","0.03","0.054","<0.01","8.1","<0.2","32.2","0.53","3.2","2.5","17.1","0.23","0.29","0.37","0.06","1.5","0.005","2"
"Junk Bay","JM3","1987-02-09","1","Bottom Water","1.2","0.11","0.4","91","7.3","29","31","0.032","0.05","<0.01","8.2","<0.2","32.4","0.5","3.2","1.5","17.1","0.19","0.35","0.43","0.14","1.4","0.004","1"
"Junk Bay","JM3","1987-03-09","1","Surface Water","0.5","0.399","0.6","70","5.3","5","5","0.059","0.019","0.06","7.7","<0.2","32.8","0.79","4","4.5","20","0.48","0.42","0.5","0.12","1.7","0.007","2.5"
"Junk Bay","JM3","1987-03-09","1","Middle Water","0.6","0.309","0.6","67","5.1","N/A","N/A","0.036","0.015","0.06","7.8","<0.2","33","0.69","4","7","19.4","0.36","0.32","0.37","0.12","1.6","0.005","3.5"
"Junk Bay","JM3","1987-03-09","1","Bottom Water","0.4","0.259","<0.2","72","5.5","230","230","0.035","0.013","0.05","7.8","0.4","33.3","0.65","4","4.5","19.3","0.31","0.28","0.33","0.07","1.8","0.005","2.5"
"Junk Bay","JM3","1987-04-02","1","Surface Water","0.8","0.21","<0.2","79","5.9","200","240","0.026","0.018","0.02","8","0.6","32.8","0.64","2.5","6","20.2","0.25","0.36","0.4","0.05","3.6","0.006","1.5"
"Junk Bay","JM3","1987-04-02","1","Middle Water","0.8","0.22","<0.2","77","5.8","N/A","N/A","0.022","0.067","0.029","8","<0.2","32.8","0.62","2.5","6","20.1","0.31","0.28","0.37","0.05","3.7","0.006","2"
"Junk Bay","JM3","1987-04-02","1","Bottom Water","0.8","0.179","0.6","79","6","590","660","0.038","0.017","0.029","8","<0.2","32.8","0.62","2.5","9","20.1","0.23","0.35","0.41","0.07","3.4","0.005","2"
"Junk Bay","JM3","1987-05-08","1","Surface Water","0.6","0.149","0.6","81","5.9","160","170","0.03","0.021","0.019","8","1","32.7","0.31","2.5","5","22.8","0.2","0.42","0.47","0.04","1.8","0.005","2"
"Junk Bay","JM3","1987-05-08","1","Middle Water","0.8","0.21","<0.2","80","5.9","N/A","N/A","0.028","0.02","0.02","8","0.4","32.8","0.33","2.5","3.5","22.8","0.26","0.42","0.47","0.04","1.7","0.007","1.5"
"Junk Bay","JM3","1987-05-08","1","Bottom Water","0.8","0.22","<0.2","78","5.7","220","220","0.026","0.021","0.02","8","1.9","32.9","0.33","2.5","8","22.7","0.27","0.38","0.43","0.06","1.9","0.008","2.5"
"Junk Bay","JM3","1987-06-08","1","Surface Water","3.1","0.19","29","78","5.4","490","610","0.092","0.035","0.015","8.2","4.6","30.3","0.07","3.2","7","25","0.32","0.62","0.75","0.06","2.7","0.012","2.5"
"Junk Bay","JM3","1987-06-08","1","Middle Water","0.9","0.039","7.6","61","4.3","N/A","N/A","0.035","0.04","0.009","8","2.8","32.3","0.31","3.2","3","24.4","0.11","0.35","0.43","0.04","1.8","0.002","1.5"
"Junk Bay","JM3","1987-06-08","1","Bottom Water","0.6","0.048","4","60","4.2","730","790","0.027","0.042","0.015","8","1.9","33.3","0.54","3.2","1.5","24","0.12","0.21","0.28","0.04","2.3","0.002","1.5"
"Junk Bay","JM3","1987-07-10","1","Surface Water","3.4","0.028","41","154","10.1","620","740","0.063","0.016","<0.005","8.4","11","27.3","0.13","2","12","27.8","0.11","0.51","0.59","0.08","4.2","0.003","6"
"Junk Bay","JM3","1987-07-10","1","Middle Water","2.3","0.053","32","140","9.4","N/A","N/A","0.078","0.018","0.005","8.2","3.7","27.6","0.17","2","9.5","27.8","0.15","0.3","0.4","0.07","3.3","0.004","3.5"
"Junk Bay","JM3","1987-07-10","1","Bottom Water","1.6","0.071","21","52","3.6","980","1100","0.082","0.019","0.009","8.1","2","30.1","0.25","2","5","25.6","0.17","0.56","0.66","0.05","3.4","0.004","1.5"
"Junk Bay","JM3","1987-08-07","1","Surface Water","1.5","0.08","10","101","6.8","1200","1300","0.095","0.021","0.008","8.3","3.7","29.2","0.2","1.5","12","25.8","0.2","0.11","0.23","0.04","5.9","0.007","4.5"
"Junk Bay","JM3","1987-08-07","1","Middle Water","1.4","0.056","14","87","5.9","N/A","N/A","0.091","0.019","0.009","8.2","4.2","29.5","0.24","1.5","7.5","24.8","0.17","0.23","0.34","0.07","6.6","0.004","3"
"Junk Bay","JM3","1987-08-07","1","Bottom Water","1","0.072","6.1","70","4.8","1700","1900","0.082","0.019","0.019","8.2","2.7","31.2","0.49","1.5","14","23.7","0.17","0.19","0.29","0.05","8.1","0.004","5"
"Junk Bay","JM3","1987-09-07","1","Surface Water","1.6","0.009","15","94","6.2","430","610","0.015","0.005","<0.005","8.4","7.2","31.1","0.16","3.5","2.5","27.3","0.03","0.58","0.6","0.06","5.4","0.001","2"
"Junk Bay","JM3","1987-09-07","1","Middle Water","1.6","0.019","9.2","79","5.3","N/A","N/A","0.006","0.003","<0.005","8.5","8.1","31.3","0.06","3.5","6","26.5","0.03","0.65","0.66","0.04","4.2","0.002","3.5"
"Junk Bay","JM3","1987-09-07","1","Bottom Water","1","0.067","5","59","4","610","660","0.045","0.01","0.011","8.2","2.8","31.8","0.4","3.5","5","25.6","0.12","0.69","0.75","<0.02","7.3","0.005","2.5"
"Junk Bay","JM3","1987-10-09","1","Surface Water","1","0.25","5.5","62","4.1","1200","1300","0.037","0.028","0.039","7.8","2.9","32.6","0.36","2","1","27.4","0.32","0.78","0.85","0.11","10.5","0.008","<0.5"
"Junk Bay","JM3","1987-10-09","1","Middle Water","1.1","0.27","6.7","60","3.9","N/A","N/A","0.041","0.029","0.06","7.8","1.7","32.6","0.8","2","4","29.3","0.34","0.73","0.8","0.09","7.5","0.01","2"
"Junk Bay","JM3","1987-10-09","1","Bottom Water","0.9","0.14","5.9","70","4.6","510","520","0.03","0.024","0.018","7.8","1.7","32.9","0.38","2","2","27.3","0.19","0.79","0.84","0.11","8","0.005","1"
"Junk Bay","JM3","1987-11-05","1","Surface Water","0.4","0.19","1","75","5.2","210","270","0.045","0.031","0.035","8","0.2","33.5","1.3","2.9","2","24.7","0.27","0.48","0.56","0.05","6.5","0.009","1.5"
"Junk Bay","JM3","1987-11-05","1","Middle Water","0.4","0.14","3.1","75","5.2","N/A","N/A","0.038","0.031","0.02","8.1","<0.2","33.5","1.1","2.9","3","24.6","0.21","0.6","0.67","0.05","6","0.007","2"
"Junk Bay","JM3","1987-11-05","1","Bottom Water","0.3","0.13","1","76","5.3","450","500","0.037","0.03","0.019","8.1","<0.2","33.5","1","2.9","1.5","24.6","0.2","0.62","0.69","0.05","8.5","0.006","1"
"Junk Bay","JM3","1987-12-07","1","Surface Water","0.2","0.076","1.5","84","6.7","170","210","0.066","0.014","0.02","8.3","0.7","33.1","1.2","2.5","5","17.6","0.16","0.35","0.43","0.05","5","0.004","2.5"
"Junk Bay","JM3","1987-12-07","1","Middle Water","0.2","0.08","1.3","84","6.6","N/A","N/A","0.11","0.016","0.019","8.3","0.8","33.1","1.3","2.5","5","17.6","0.21","0.47","0.6","0.02","5.2","0.004","2"
"Junk Bay","JM3","1987-12-07","1","Bottom Water","0.3","0.077","1.5","84","6.7","110","130","0.071","0.014","0.02","8.3","<0.2","33.1","1.3","2.5","5.5","17.4","0.16","0.47","0.56","0.07","5.3","0.004","2.5"
"Junk Bay","JM3","1988-01-07","1","Surface Water","1.1","0.26","2.3","76","6","490","670","0.096","0.02","0.051","8.1","<0.2","31.4","1.1","4","19","18","0.38","0.74","0.86","0.07","3.1","0.009","3.5"
"Junk Bay","JM3","1988-01-07","1","Middle Water","0.8","0.2","2.1","79","6.2","N/A","N/A","0.094","0.019","0.034","8.1","0.7","31.4","1.1","4","6.5","17.7","0.31","0.64","0.75","0.06","3.9","0.007","3.5"
"Junk Bay","JM3","1988-01-07","1","Bottom Water","0.9","0.22","3.1","80","6.3","640","790","0.099","0.02","0.039","8.1","0.3","31.4","1.1","4","9.5","17.7","0.34","0.68","0.8","0.06","3.2","0.008","4.5"
"Junk Bay","JM3","1988-02-08","1","Surface Water","0.8","0.16","2.3","79","6.3","2400","2400","0.041","0.073","0.036","8","<0.2","32.7","0.92","2.3","4","17.6","0.27","0.36","0.47","0.08","3","0.004","2"
"Junk Bay","JM3","1988-02-08","1","Middle Water","0.7","0.072","2.3","82","6.4","1800","1800","0.04","0.11","0.032","8.1","<0.2","32.8","0.76","2.3","14","17.7","0.22","0.36","0.51","0.05","2.8","0.002","5.5"
"Junk Bay","JM3","1988-02-08","1","Bottom Water","0.6","0.086","1.7","85","6.7","620","650","0.042","0.049","0.03","8.1","<0.2","32.9","0.7","2.3","5","17.7","0.18","0.3","0.39","0.07","4.1","0.003","3"
"Junk Bay","JM3","1988-03-07","1","Surface Water","0.7","0.13","1","68","5.7","2400","2400","0.089","0.016","0.027","8","0.5","32","1","3.5","12","14.9","0.24","0.64","0.75","0.08","2","0.003","4"
"Junk Bay","JM3","1988-03-07","1","Middle Water","0.7","0.15","1","68","5.8","2400","2400","0.089","0.018","0.029","8","0.9","32","1.1","3.5","5.5","14.9","0.26","0.51","0.62","0.07","2.1","0.003","2"
"Junk Bay","JM3","1988-03-07","1","Bottom Water","0.8","0.11","0.6","72","6","1200","1200","0.089","0.015","0.026","8","0.8","32","1","3.5","8.5","14.8","0.21","0.72","0.82","0.09","1.9","0.002","3.5"
"Junk Bay","JM3","1988-04-11","1","Surface Water","0.4","0.13","2.9","93","7.4","60","80","0.085","0.004","0.016","8.2","0.7","32.6","0.84","3","2","16.5","0.22","0.71","0.8","0.04","4.8","0.005","1.5"
"Junk Bay","JM3","1988-04-11","1","Middle Water","0.1","0.06","3.1","93","7.4","60","70","0.06","0.004","0.012","8.2","0.4","32.7","0.77","3","2","16.5","0.12","0.45","0.51","0.03","6.2","0.002","2"
"Junk Bay","JM3","1988-04-11","1","Bottom Water","0.3","0.074","2.7","94","7.5","40","50","0.058","0.004","0.01","8.2","0.5","32.8","0.82","3","2","16.7","0.14","0.48","0.54","0.03","6.1","0.003","1.5"
"Junk Bay","JM3","1988-05-12","1","Surface Water","4.3","0.17","9","110","7.5","230","280","0.045","0.009","0.021","8.3","2.9","32.7","0.4","2.5","1.5","24.7","0.22","0.8","0.85","0.06","3.5","0.014","1.5"
"Junk Bay","JM3","1988-05-12","1","Bottom Water","1.9","0.17","5","88","6.2","320","400","0.032","0.008","0.029","8.2","3.2","33.5","1.6","2.5","2","23.4","0.21","0.65","0.69","0.05","3","0.011","2"
"Junk Bay","JM3","1988-06-06","1","Surface Water","0.6","0.17","4.2","79","5.3","110","110","0.039","0.009","0.005","8.1","2.7","33.3","0.06","2.6","2.5","26.2","0.22","0.44","0.49","0.04","4.4","0.009","1"
"Junk Bay","JM3","1988-06-06","1","Middle Water","0.5","0.15","5","80","5.4","70","80","0.036","0.007","0.005","8.1","4.1","33.2","0.07","2.6","2.5","26.2","0.19","0.38","0.42","0.03","4.8","0.009","1"
"Junk Bay","JM3","1988-06-06","1","Bottom Water","0.5","0.068","6.1","80","5.3","170","190","0.026","0.005","<0.005","8.1","2.6","33.5","0.23","2.6","4","26","0.1","0.39","0.42","<0.02","4","0.004","2"
"Junk Bay","JM3","1988-07-08","1","Surface Water","1.4","0.13","8.5","129","8.6","1","1","0.052","0.02","<0.005","8.3","9.6","31.9","0.05","2.3","3.5","27.4","0.2","0.73","0.8","0.02","2.5","0.014","2.5"
"Junk Bay","JM3","1988-07-08","1","Bottom Water","2.1","0.006","15","116","7.9","10","20","0.002","<0.002","<0.005","8.4","17","32","0.06","2.3","4","25.2","0.01","0.66","0.66","0.03","3.5","0.001","2.5"
"Junk Bay","JM3","1988-08-12","1","Surface Water","0.9","0.03","7.6","98","6.5","30","30","0.018","0.007","<0.005","8.4","4","30.9","0.13","3.7","3.5","26.9","0.06","0.31","0.34","<0.02","2.6","0.003","2.5"
"Junk Bay","JM3","1988-08-12","1","Middle Water","0.8","0.082","6.9","73","4.9","160","190","0.032","0.013","0.013","8.4","4.7","31.2","0.25","3.7","2","26","0.13","0.37","0.42","<0.02","3.5","0.008","1.5"
"Junk Bay","JM3","1988-08-12","1","Bottom Water","0.9","0.082","8","47","3.2","140","250","0.026","0.011","0.011","8.4","5.2","32.3","<0.05","3.7","4","24.9","0.12","0.37","0.41","0.02","3.4","0.008","2.5"
"Junk Bay","JM3","1988-09-13","1","Surface Water","2.7","0.076","8.6","99","6.7","80","100","0.047","0.015","<0.005","8.5","3.4","31.8","0.05","2.2","2.5","25.6","0.14","0.61","0.67","0.02","3.5","0.009","2"
"Junk Bay","JM3","1988-09-13","1","Middle Water","3.1","0.052","15","92","6.3","60","70","0.047","0.015","<0.005","7.5","4.6","32.1","0.09","2.2","2","24.9","0.11","0.65","0.71","0.02","1.5","0.001","1.5"
"Junk Bay","JM3","1988-09-13","1","Bottom Water","0.8","0.005","4","62","4.3","1400","1400","<0.002","<0.002","<0.005","8.2","2.5","32.9","0.55","2.2","28","23.6","0.01","0.34","0.34","0.03","51.5","0.001","4"
"Junk Bay","JM3","1988-10-07","1","Surface Water","0.3","0.12","3.1","78","5.4","10","10","0.069","0.022","0.006","8.4","<0.2","31.9","1.1","N/A","6","24.9","0.21","0.64","0.73","0.03","3.6","0.011","2.5"
"Junk Bay","JM3","1988-10-07","1","Middle Water","0.7","0.042","4","80","5.5","1","1","0.054","0.021","<0.005","8.4","0.5","32","0.98","N/A","2","24.8","0.12","0.68","0.76","0.03","3","0.004","1"
"Junk Bay","JM3","1988-10-07","1","Bottom Water","0.4","0.061","2.5","79","5.4","30","30","0.04","0.026","0.007","8.2","0.3","32","1.1","N/A","4","24.6","0.13","0.62","0.69","0.03","4.9","0.004","1.5"
"Junk Bay","JM3","1988-11-18","1","Surface Water","0.3","0.62","1.5","61","4.6","1","1","0.17","0.027","0.066","8","1","31.2","1.6","1.8","3","21.2","0.82","0.72","0.92","0.09","5.5","0.022","1"
"Junk Bay","JM3","1988-11-18","1","Middle Water","0.3","0.63","1.7","62","4.5","10","10","0.18","0.027","0.058","8","1.2","31.2","1.6","1.8","2","21.2","0.84","0.68","0.89","0.09","6","0.023","1"
"Junk Bay","JM3","1988-11-18","1","Bottom Water","0.4","0.66","1.7","61","4.5","20","20","0.17","0.027","0.065","8","1.1","31.3","1.6","1.8","3.5","21.2","0.86","0.75","0.95","0.1","5","0.024","0.5"
"Junk Bay","JM3","1988-12-12","1","Surface Water","0.4","0.32","1","65","5","900","900","0.084","0.018","0.048","8.2","0.6","30.9","0.56","2.2","12","19","0.42","0.58","0.68","0.07","3.2","0.014","3"
"Junk Bay","JM3","1988-12-12","1","Middle Water","0.3","0.28","1.1","70","5.4","1300","1300","0.087","0.016","0.037","8.2","1.1","31","0.54","2.2","6.5","18.8","0.38","0.66","0.76","0.07","5.2","0.013","2"
"Junk Bay","JM3","1988-12-12","1","Bottom Water","0.3","0.27","1.1","73","5.7","540","550","0.088","0.017","0.036","8.4","1.1","31","0.46","2.2","3","18.5","0.38","0.57","0.68","0.07","4.2","0.018","1"
"Junk Bay","JM3","1989-01-09","1","Surface Water","0.3","0.18","0.4","74","5.9","900","900","0.062","0.017","0.036","8.3","0.3","31.7","1","2","3.5","17.6","0.26","0.5","0.58","0.05","6.3","0.009","1"
"Junk Bay","JM3","1989-01-09","1","Middle Water","0.3","0.19","0.2","78","6.2","900","1100","0.064","0.017","0.03","8.3","0.3","31.7","1","2","4.5","17.5","0.27","0.55","0.63","0.05","6.7","0.01","2.5"
"Junk Bay","JM3","1989-01-09","1","Bottom Water","0.2","0.16","0.4","84","6.7","300","500","0.064","0.016","0.02","8.3","0.2","31.9","0.97","2","3","17.4","0.24","0.47","0.55","0.05","5.1","0.008","1"
"Junk Bay","JM3","1989-02-13","1","Surface Water","0.9","0.098","7.4","92","7.7","260","330","0.1","0.016","0.017","8.2","1.6","31.8","0.61","2.5","3","14.9","0.21","0.32","0.44","0.04","4.1","0.004","1.5"
"Junk Bay","JM3","1989-02-13","1","Middle Water","1.2","0.096","7.2","91","7.6","250","310","0.1","0.016","0.023","8.3","1.4","31.8","0.57","2.5","2","14.9","0.21","0.31","0.43","0.05","3.4","0.004","1"
"Junk Bay","JM3","1989-02-13","1","Bottom Water","0.7","0.089","4.7","85","7.1","420","480","0.1","0.015","0.019","8.2","1.7","31.8","0.8","2.5","3","14.9","0.2","0.29","0.41","0.05","3.3","0.003","1.5"
"Junk Bay","JM3","1989-03-10","1","Surface Water","0.8","0.14","1.3","80","6.6","300","370","0.033","0.007","0.022","8.4","<0.2","33","0.67","2.8","4.5","15.6","0.18","0.44","0.48","0.03","2.6","0.007","1.5"
"Junk Bay","JM3","1989-03-10","1","Middle Water","0.6","0.14","1.3","81","6.7","750","830","0.041","0.008","0.02","8.3","<0.2","33","0.69","2.8","3","15.5","0.19","0.56","0.61","0.05","3.6","0.006","1"
"Junk Bay","JM3","1989-03-10","1","Bottom Water","0.4","0.16","0.7","82","6.7","1100","1100","0.036","0.007","0.023","8.3","0.4","33","0.65","2.8","3.5","15.5","0.2","0.41","0.45","0.04","3.2","0.007","1"
"Junk Bay","JM3","1989-04-10","1","Surface Water","0.6","0.24","0.4","65","5.1","110","120","0.054","0.009","0.034","8.1","0.8","32.9","0.86","3","1.5","18.3","0.3","0.5","0.56","0.05","3.9","0.009","0.5"
"Junk Bay","JM3","1989-04-10","1","Middle Water","0.2","0.2","0.4","67","5.2","430","460","0.035","0.007","0.025","8.2","0.5","33","0.71","3","0.5","18.1","0.24","0.4","0.44","0.06","4.4","0.007","<0.5"
"Junk Bay","JM3","1989-04-10","1","Bottom Water","0.4","0.18","0.4","71","5.6","530","620","0.033","0.006","0.025","8.2","0.6","33.1","0.65","3","2","18.1","0.22","0.42","0.46","0.04","5","0.007","0.5"
"Junk Bay","JM3","1989-05-08","1","Surface Water","5","0.15","3.4","88","6.5","1300","1800","0.04","0.01","0.02","8.5","0.2","31.9","0.42","1.6","1","22.9","0.2","0.45","0.5","0.04","6","0.016","<0.5"
"Junk Bay","JM3","1989-05-08","1","Middle Water","3.6","0.13","3.3","68","5","450","470","0.035","0.009","0.02","8.4","1.3","32.3","0.41","1.6","4","22.7","0.17","0.42","0.46","0.03","6","0.011","1"
"Junk Bay","JM3","1989-05-08","1","Bottom Water","1.8","0.15","3.2","66","4.9","600","640","0.047","0.009","0.029","8.2","1.1","32.5","0.52","1.6","2.5","22.6","0.21","0.53","0.59","0.04","5.5","0.009","1"
"Junk Bay","JM3","1989-06-06","1","Surface Water","0.8","0.18","4.7","79","5.7","10","10","0.035","0.013","0.02","8.2","<0.2","33.3","0.76","2.7","0.5","23.3","0.23","0.4","0.45","0.03","5.2","0.012","<0.5"
"Junk Bay","JM3","1989-06-06","1","Middle Water","0.9","0.18","4.2","76","5.4","20","30","0.036","0.013","0.024","8.3","0.4","33.6","0.75","2.7","0.5","23.2","0.23","0.51","0.56","0.03","5.3","0.012","0.5"
"Junk Bay","JM3","1989-06-06","1","Bottom Water","0.5","0.13","2.7","83","6","100","10","0.035","0.013","0.02","8.3","<0.2","33.8","0.77","2.7","2","22.7","0.18","0.3","0.35","0.02","5.5","0.009","0.5"
"Junk Bay","JM3","1989-07-10","1","Surface Water","2.7","0.023","17","108","7.3","1","1","0.006","0.002","<0.005","8.9","4.6","29.1","<0.05","1.9","2","26.6","0.03","0.27","0.28","0.03","3.2","0.006","1.5"
"Junk Bay","JM3","1989-07-10","1","Middle Water","2.5","0.007","16","107","7.2","1","1","0.011","0.003","<0.005","8.8","4.8","29.3","0.06","1.9","3","26.5","0.02","0.24","0.25","0.03","3.4","0.002","1.5"
"Junk Bay","JM3","1989-07-10","1","Bottom Water","3","0.011","18","56","3.9","1","1","0.007","0.004","<0.005","8.8","8.6","31.6","0.05","1.9","2.5","23.8","0.02","0.34","0.35","0.03","4.3","0.002","1.5"
"Junk Bay","JM3","1989-08-07","1","Surface Water","3.4","0.11","23","190","12.7","700","740","0.25","0.022","0.016","8.9","6.8","32","0.13","N/A","3","27","0.38","0.52","0.79","0.05","5.5","0.03","1.5"
