"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Silica (mg/L)","Secchi Disc Depth (M)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Eastern Buffer","EM1","1986-01-16","1","Surface Water","N/A","N/A","N/A","80","N/A","160","160","N/A","N/A","N/A","N/A","N/A","33","N/A","N/A","N/A","16.3","N/A","N/A","N/A","N/A","1.2","N/A","N/A"
"Eastern Buffer","EM1","1986-01-16","1","Middle Water","0.7","N/A","2.1","86","N/A","200","200","N/A","N/A","N/A","8.2","N/A","33","N/A","N/A","42","16.1","N/A","0.1","N/A","0.06","1.4","N/A","N/A"
"Eastern Buffer","EM1","1986-01-16","1","Bottom Water","N/A","N/A","N/A","85","N/A","240","240","N/A","N/A","N/A","N/A","N/A","33","N/A","N/A","N/A","16.1","N/A","N/A","N/A","N/A","1.8","N/A","N/A"
"Eastern Buffer","EM1","1986-04-11","1","Surface Water","0.3","0.169","2","66","4.9","80","100","0.03","0.013","0.039","8.1","<0.2","33.8","0.49","2.5","1.5","19.1","0.21","0.68","0.72","0.08","1.9","0.006","N/A"
"Eastern Buffer","EM1","1986-04-11","1","Bottom Water","0.2","0.1","0.8","76","5.7","40","40","0.02","0.007","0.02","8.2","0.3","34","0.37","2.5","31","19.6","0.13","0.82","0.85","0.15","9","0.004","N/A"
"Eastern Buffer","EM1","1986-05-12","1","Surface Water","1","0.25","1.3","69","4.8","2800","2900","0.052","0.014","0.05","8","0.9","30.6","0.85","2.2","4","24.5","0.32","0.55","0.62","0.07","3.3","0.01","N/A"
"Eastern Buffer","EM1","1986-05-12","1","Bottom Water","0.5","0.119","0.6","84","6","270","300","0.018","0.006","0.02","8.1","0.8","33.5","0.36","2.2","1.5","24.6","0.14","0.25","0.27","0.02","1.2","0.006","N/A"
"Eastern Buffer","EM1","1986-06-09","1","Surface Water","N/A","N/A","N/A","87","5.9","1400","1700","N/A","N/A","N/A","N/A","N/A","32.2","N/A","3.5","N/A","25.8","N/A","N/A","N/A","N/A","1","N/A","N/A"
"Eastern Buffer","EM1","1986-06-09","1","Middle Water","0.4","0.025","2","87","5.9","N/A","N/A","0.011","0.01","0.01","8.1","<0.2","32.2","0.31","3.5","2","25.8","0.05","0.58","0.6","0.02","1.1","0.001","N/A"
"Eastern Buffer","EM1","1986-06-09","1","Bottom Water","N/A","N/A","N/A","80","5.5","62","94","N/A","N/A","N/A","N/A","N/A","32.3","N/A","3.5","N/A","25.7","N/A","N/A","N/A","N/A","1.1","N/A","N/A"
